typeofplace state region married education familyincome seedebates efficacy involvement predict close importance partyid willvote sex race age lifecycle socialclass wasmilitary parentsborn catholic church
1 4 71 NA 0 2 7 2 3 3 1 2 1 1 2 1 0 32 3 1 0 NA 1 4
2 4 71 NA 0 2 8 2 5 2 1 3 2 1 1 1 0 47 2 2 0 1 0 2
4 4 45 2 0 1 1 2 3 4 2 3 NA NA 5 2 1 50 1 1 0 NA 0 4
5 4 49 2 0 1 3 2 2 3 1 3 2 1 2 1 0 67 2 2 0 NA 0 4
7 4 37 2 0 3 2 2 4 1 1 2 1 1 2 2 0 68 2 2 0 NA 1 4
8 4 14 2 0 1 4 2 5 3 2 3 2 5 2 2 0 39 3 1 0 0 1 4
9 4 42 3 0 1 2 2 4 3 1 3 NA 1 2 1 0 69 2 1 0 1 0 1
10 4 42 3 0 2 3 2 1 2 2 3 2 5 2 2 0 59 2 1 0 NA 0 3
12 4 42 3 0 1 5 2 2 5 1 3 2 1 2 1 1 49 3 1 0 NA 0 4
14 4 42 3 0 1 1 1 2 5 1 2 5 6 2 2 1 56 2 2 0 NA 0 4
15 4 31 3 0 2 6 2 4 1 1 3 1 2 2 1 0 32 3 1 1 1 1 4
16 4 31 3 0 1 1 2 3 3 1 3 2 1 2 1 0 76 2 2 0 0 0 2
17 4 35 4 1 3 5 2 4 2 2 3 2 7 2 2 0 69 1 2 0 1 0 4
18 4 51 3 1 1 1 1 2 4 1 3 1 1 2 2 0 81 1 1 0 1 0 2
19 4 51 3 0 1 4 2 4 1 2 3 1 7 2 1 0 63 2 1 0 1 0 4
20 4 31 2 0 3 3 1 3 3 2 4 2 7 2 2 0 36 3 1 0 NA 0 4
21 4 40 4 0 2 6 2 1 6 2 3 4 NA 6 2 0 32 3 1 0 NA 0 2
22 4 40 4 0 2 7 2 3 2 1 3 2 1 2 1 0 44 3 2 NA 1 0 3
23 4 23 4 1 2 2 2 4 6 1 4 4 2 2 2 0 68 1 1 0 1 0 2
24 0 71 1 0 2 6 1 3 3 2 2 2 2 2 1 1 55 2 1 0 NA 0 4
25 4 31 2 0 3 8 2 3 3 2 3 2 2 2 2 0 45 2 2 0 1 0 4
28 4 51 2 0 2 2 1 2 5 2 2 2 7 3 2 0 30 3 1 0 1 0 2
29 4 51 2 0 1 5 2 4 2 1 3 2 1 6 2 0 29 3 1 0 1 0 3
30 4 51 2 0 2 6 2 4 2 2 3 2 2 2 2 0 23 3 1 0 1 0 2
